source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic,engagement_score
instagram.com,https://www.instagram.com/glp_grunliberale/,3726588627658043103_8282638970,Die Grünliberalen lehnen die als «Nachhaltigkeitsinitiative» verschleierte Initiative zur Kündigung der Personenfreizügigkeit mit der EU ab. Mit dieser würden der Schweiz rasch die notwendigen Fachkräfte in unseren Spitälern und Unternehmen fehlen. Und sie gefährdet die bewährten bilateralen Verträge. #Schweiz #Personenfreizügigkeit #Bilaterale #Fachkräfte #Spitäler #Unternehmen #Politik #Abstimmung #Europa #Arbeitskräfte #Wirtschaft,2025-09-21 14:15:20+00:00,2,33,2,-0.57,0,-1.2538438224752266
instagram.com,https://www.instagram.com/glp_grunliberale/,3725714311927080247_8282638970,🎬 Ein Ausschnitt aus einem Tag während der Session des Parlaments  #Bundeshaus #Politik #Schweiz #Demokratie #Session #Verantwortung #Nationalrat #Ständerat #Parlament #Bern #Dialog #Politikerin #Politiker #Bundesversammlung #Debatte,2025-09-20 09:17:56+00:00,2,72,0,0.0,0,-1.2280834914611005
instagram.com,https://www.instagram.com/glp_grunliberale/,3724506884071141105_8282638970,"Nachts werden Warmwasserboiler und Elektrospeicherheizungen eingeschaltet und am Mittag sind oft Waschmaschinen oder Wärmepumpen gesperrt. Das macht im Solarzeitalter keinen Sinn mehr! Berechnungen zeigen, dass damit bis zu 45 Prozent des gesamten Schweizer Strombedarfes in der Nacht zugeschaltet werden. Das ist aus der der Zeit gefallen. Es braucht Anreize, damit die Elektrizitätswerke dann Stromverbraucher zuschalten, wenn es viel Strom hat und die Preise tief sind. #Solarzeitalter #Stromverbrauchssteuerung #Energiewende #Schweiz #Smartgrid #Energieeffizienz #Strompreise #ErneuerbareEnergien #Elektrizitätswerke #Anreizsysteme #Energiezukunft",2025-09-18 17:21:17+00:00,2,67,2,0.39,0,-0.8893276934429686
instagram.com,https://www.instagram.com/glp_grunliberale/,3724347779532513146_8889484925,"39 % US-Strafzölle treffen die Schweizer Wirtschaft mitten ins Herz. Wir lassen unsere Unternehmen nicht im Stich – jetzt braucht es Stabilität und Zukunftsperspektiven.  Die GLP fordert: 1️⃣ Märkte diversifizieren – weniger Abhängigkeit, mehr Chancen weltweit 2️⃣ Freihandel sichern – verlässliche Zugänge zu starken Partnern 3️⃣ Talente gewinnen & halten – die besten Köpfe für die Schweiz 4️⃣ Standort stärken – Innovation und Wettbewerbsfähigkeit ausbauen 5️⃣ Bürokratie abbauen – schlanke Prozesse für starke Firmen Jetzt braucht es Taten statt Worte: Sagen wir Ja zu den Bilateralen III. So bleibt die Schweiz auch in stürmischen Zeiten führend statt getrieben. 🇨🇭 #Wirtschaft #Export #Innovation #Talente #Freihandel #KMU",2025-09-18 12:01:56+00:00,2,53,2,0.93,0,-1.0394225701033102
instagram.com,https://www.instagram.com/glp_grunliberale/,3723715216682207572_8282638970,"Eine sehr gute Nachricht für alle KMU und die Privatwirtschaft insgesamt: Meine parlamentarische Initiative, welche Spielregeln für die staatlichen Firmen klarer definieren und die unzulässige Konkurrenzierung der Privatwirtschaft verunmöglichen will, ist angenommen worden. 👉 Die Post ist besonders betroffen von dieser Konkurrenzierung der Privatwirtschaft. Die Kommission hat eine Umsetzung beschlossen, welche jetzt in die Vernehmlassung geht. Darum bitte ich jetzt alle Akteure aus der Privatwirtschaft, insbesondere Wirtschaftsverbände, dass sie eine klar unterstützende Stellungnahme abgeben in dieser Vernehmlassung, sodass wir das nachher beschliessen können im National- und Ständerat und schlussendlich die Privatwirtschaft mehr Freiheiten hat und Staatsfirmen wie die Post sich auf ihren Kernauftrag konzentrieren dürfen und müssen. Besten Dank! #KMU #Privatwirtschaft #Wirtschaftspolitik #Schweiz #Wettbewerb #Staatsfirmen #Politik",2025-09-17 15:05:39+00:00,2,58,0,0.94,0,-1.3781783681214421
instagram.com,https://www.instagram.com/glp_grunliberale/,3723691851304201774_8889484925,Die Temperaturen sinken – aber Tierleid darf keine Antwort auf Kälte sein. Umso erfreulicher: Der Nationalrat hat heute sehr deutlich Ja gesagt zum Gegenvorschlag für ein Importverbot von Pelz. 👉 Damit soll Pelz aus tierquälerischer Produktion in der Schweiz endlich verboten werden. Ein wichtiger Schritt für mehr Tierschutz! Sag auch du klar: Kein Platz für Tierleid in unserer Mode. #Pelzfrei #Tierschutz #KeinTierleid #Pelzinitiative #FairFashion #AnimalRights #Herbstmode #Schweiz #TierleidStoppen,2025-09-17 14:18:43+00:00,2,68,2,-1.0,1,-0.8786066308243727
instagram.com,https://www.instagram.com/glp_grunliberale/,3723639547897911501_8889484925,"Jetzt Ja stimmen zur freiwilligen E-ID am 28. September! Mach mit und unterstütze die staatliche E-ID für eine sichere und moderne Identitätslösung in der Schweiz. Mit der E-ID entscheidest du, wie du dich digital ausweist – ganz ohne Zwang, kostenlos und mit hohem Datenschutz. Sag Ja zur Schweizer Lösung, damit unsere Daten und unsere digitale Identität in Schweizer Händen bleiben - und unser Beat Flach zu seiner Flasche Cognac kommt. 😉 #eID #Ja #digitalezukunft #schweiz",2025-09-17 12:34:27+00:00,2,67,30,-0.32,1,4.603727862112587
instagram.com,https://www.instagram.com/glp_grunliberale/,3722197751971741459_8889484925,"Unsere Demokratie ist keine Selbstverständlichkeit – sie lebt von Vielfalt, Respekt und deinem Engagement. Gerade jetzt ist es wichtig, dass wir miteinander im Gespräch bleiben und konstruktive Lösungen suchen. Jede Stimme zählt: Ob an der Urne, in Diskussionen oder durch Engagement im Alltag – gemeinsam stärken wir unsere demokratischen Werte.",2025-09-15 12:49:34+00:00,8,99,1,1.0,0,-0.7424342452034578
instagram.com,https://www.instagram.com/glp_grunliberale/,3721545385530408761_8889484925,"Du hast ein #Talent dafür, Menschen zu motivieren und zu verbinden? Du hast grosses Interesse an der Schweizer #Politik? Du bist begeistert von der Idee, die Zukunft der #GLP aktiv mitzugestalten? Werde unser:e Growth Manager:in! Es wartet spannende Arbeit auf dich. Für die Gewinnung und #Mobilisierung von Mitgliedern und Sympathisant:innen suchen wir per sofort oder nach Vereinbarung eine:n #Projektleiter:in (50-80%). Die Tätigkeit umfasst insbesondere: ▪ Community Building: Aufbau und Pflege eines Netzwerks von engagierten Unterstützer:innen und Freiwilligen durch physische und online Treffen und digitale Kanäle zur Vernetzung und Befähigung. ▪ Mitgliedergewinnung: Weiterentwicklung und Umsetzung der Strategie zur Gewinnung neuer #Mitglieder, in enger Zusammenarbeit mit dem zuständigen Mitglied der Geschäftsleitung, den Kantonalparteien und den Netzwerken. ▪ Kampagnenkoordination: Planung und Umsetzung von Kampagnen zur Gewinnung und Mobilisierung von Mitgliedern und Sympathisant:innen, in enger Zusammenarbeit mit dem Kommunikations- und Kampagnenteam. ▪ #Zusammenarbeit mit Kantonalparteien und GLP-Netzwerken: Enge Abstimmung mit den Kantonalparteien, der JGLP und weiteren GLP-Netzwerken zur Koordination und Unterstützung der regionalen Mobilisierungsaktivitäten und Erarbeitung sowie Sicherstellung einer einheitlichen Strategie. ▪ Datenanalyse: Erfassung und Auswertung von Mitglieder- und Mobilisierungsdaten zur Optimierung der Strategie. ▪ Kommunikation: Entwicklung neuer Kommunikationsmassnahmen zur Gewinnung und Mobilisierung unserer Mitglieder, in enger Zusammenarbeit mit dem Kommunikations- und Kampagnenteam. 👉 Du findest mehr Informationen in der Bio.",2025-09-14 15:13:25+00:00,1,14,0,1.0,0,-1.8499051233396584
instagram.com,https://www.instagram.com/glp_grunliberale/,3721523561426095859_8282638970,"Vor 40 Jahren in der Lehre sagte mir mein Chef (ein Solarpionier):  #Solaranlagen 🌞 am Netz kommen wohl nie - zu teuer, zu ineffizient! --> heute ist PV 35 x günstiger als damals, doppelt so effizient und liefert 14% des CH-Stromverbrauches. Vor 20 Jahren sagten alle: #Elektromobilität 🚘 geht nie - zu schwer, zu geringe Reichweite, fehlende Ladeinfrastruktur! --> heute sind über 20% der Neuwagen in der Schweiz vollelektrisch, in Norwegen 94%. Vor 5 Jahren sagten Experten: elektrischer Schwerverkehr 🚛 , das kommt nie, wenn, dann mit Wasserstoff! --> heute sind 18% der neuen LKWs vollelektrisch!   Und Elektrisch fliegen 🛩️? Auch das geht nie, ausser man tut es. #electriflyin  #sustainablemobility #elektroflugzeuge #futureofflight #Energiewende  #Schweiz #Politik #Bundesrat #Nachhaltigkeit #ErneuerbareEnergie  #Klimaschutz #Solarenergie #Windkraft #Wasserkraft #Energiepolitik #Umwelt #Zukunft #Klimawandel",2025-09-14 14:59:05+00:00,8,61,1,-0.87,0,-1.149834624710099
