source_platform,source_platform_url,data.id,data.caption.text,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/spschweiz/,3722313153096007252_6052176286,"Die Stimmcouverts sind eingetroffen! 📨
Teile diesen Beitrag und erinnere dein Umfeld ans Abstimmen!

NEIN zur Eigenmietwert-Abschaffung: ❌
Der Systemwechsel bei den Liegenschaftssteuern kostet rund 2 Milliarden Franken. Das bedeutet: Jährlich 500 Franken mehr Steuern pro Haushalt (auch für alle Mieter:innen), während reiche Immobilienbesitzer:innen entlastet werden. Aufgrund dieses riesigen Lochs in der Kasse haben sogar die Kantone klar Stellung bezogen und rufen dazu auf, den Systemwechsel abzulehnen. Das benötigte Geld würde sonst bei der Finanzierung von Kitas, Prämienverbilligungen und Bildung fehlen. Deshalb ist am 28. September ein NEIN zum Bundesbeschluss über die kantonalen Liegenschaftssteuern auf Zweitliegenschaften (Abschaffung des Eigenmietwerts) nötig.

JA zur e-ID Vorlage: ✅
Am 28. September stimmen wir auch über die neue staatliche e-ID ab. Sie ist sicher, freiwillig, kostenlos und wird ausschliesslich vom Bund betrieben. Damit wird die Kritik an der alten Vorlage von 2021 (damals wurde eine privat betriebene e-ID vorgeschlagen), behoben. Die e-ID schützt die Privatsphäre, da nur minimale Daten weitergegeben werden. Mit ihr stärken wir den Service public, fördern die Digitalisierung und sichern die digitale Souveränität bzw. verhindern, dass private Tech-Giganten zuvorkommen und eigene e-IDs entwickeln. Deswegen braucht es ein klares JA.",1,775,43
instagram.com,https://www.instagram.com/spschweiz/,3720918243088365473_6052176286,"Fact checked by Eva Herzog.

NEIN am 28. September zum Bundesbeschluss über die
kantonalen Liegenschaftssteuern
auf Zweitliegenschaften (Eigenmietwert-Abschaffung)!",2,2473,156
instagram.com,https://www.instagram.com/spschweiz/,3719468416462867281_6052176286,"Selbst eine Schweigeminute für die Abertausenden Opfer wird verweigert.

Die SP Schweiz hat eine ausserordentliche Session zum katastrophalen Krieg in Gaza gefordert. 

Zahlreiche Expert:innen gehen heute von einem Genozid aus. Und trotzdem hat die rechte Mehrheit im Parlament heute wieder abgelehnt, konkrete Massnahmen für ein Ende der Kriegsverbrechen und massiven Menschenrechtsverletzungen Israels in Gaza zu verlangen. 

Die Schweiz macht sich damit an diesen Kriegsverbrechen mitschuldig.",2,7997,625
instagram.com,https://www.instagram.com/spschweiz/,3719404672168498271_6052176286,"Alles, was du zum Eigenmietwert wissen musst.",2,2925,619
instagram.com,https://www.instagram.com/spschweiz/,3717953865350938216_6052176286,"Wennt so vil Chance zum ""Huus-Chatze"" Witze mache hettsch, abers ersch bim Caption schriibe merksch 🙃",2,14297,395
instagram.com,https://www.instagram.com/spschweiz/,3714008852770376569_6052176286,"2 Milliarden Steuerausfälle, damit vor allem die Privilegiertesten profitieren? Wir denken nicht. 

Deshalb sagen wir am 28. September NEIN zum Bundesbeschluss über die
kantonalen Liegenschaftssteuern
auf Zweitliegenschaften aka Abschaffung des Eigenmietwerts aka 2 Milliarden Steuerausfällen.",2,1899,316
instagram.com,https://www.instagram.com/spschweiz/,3712893287469176117_6052176286,Plötzlech tendiered nümm alli Bürgerliche „zu Trump“… 🙃,2,4502,308
instagram.com,https://www.instagram.com/spschweiz/,3710664729577412549_6052176286,"Es reicht! 23 Femizide sind 23 zu viel!

Deshalb haben wir gestern eine neue Initiative lanciert, damit die Schweiz endlich konsequent Massnahmen gegen die Gewalt an Frauen ergreift. 

#niunamenos 💜",2,32622,1020
instagram.com,https://www.instagram.com/spschweiz/,3709667654975161684_6052176286,D Schwiiz: Gar nöd mal so guet,2,667,47
instagram.com,https://www.instagram.com/spschweiz/,3709216459021886644_6052176286,"SNB, diese 500er fürs neue Banknoten-Konzept? 💸",2,2603,214
instagram.com,https://www.instagram.com/spschweiz/,3708498023388579567_6052176286,Macheds guet 💖🥹,8,3815,17
instagram.com,https://www.instagram.com/spschweiz/,3704137911980116039_6052176286,Die Wahrheit ist: Hauptverantwortlich für die Klimakrise sind Milliardär:innen. Allein die beiden Privatjets von Elon Musk stossen rund 5.500 Tonnen CO2 im Jahr aus. Dafür bräuchte eine durchschnittliche Person aus der Schweiz 458 Jahre.,2,8008,93
instagram.com,https://www.instagram.com/spschweiz/,3699650574551393305_6052176286,"Danke für eure Rückmeldungen und persönlichen Geschichten! ❤️

Bewilligte Demo: Psychische Gesundheit für alle!
16. August 2025, 14:00
Bern, Waisenhausplatz",8,910,13
instagram.com,https://www.instagram.com/spschweiz/,3699036866723704193_6052176286,Die ganze Analyse: Bei Meyer:Wermuth! 🎙️,2,835,146
instagram.com,https://www.instagram.com/spschweiz/,3698322817454969816_6052176286,AK(scho)W(eder) 🫠,2,1219,181
instagram.com,https://www.instagram.com/spschweiz/,3694715749856079551_6052176286,Es ist höchste Zeit.,8,2074,215
instagram.com,https://www.instagram.com/spschweiz/,3693846221085388336_6052176286,Der Schluss ist für @ignaziocassis,2,2372,175
instagram.com,https://www.instagram.com/spschweiz/,3686751448167930790_6052176286,"Seit 20 Jahren leitet Bea Schwager die @spaz_zh. Bei uns im Podcast-Studio beantwortete sie die wichtigsten Fragen zur Situation von Sans-Papiers in der Schweiz. Du findest die neue Folge Meyer:Wermuth bei YouTube, Spotify und Apple Podcasts. 🎙️",2,474,37
instagram.com,https://www.instagram.com/spschweiz/,3681688755358705170_6052176286,Das ganze Gespräch mit Seenotretter @arno.tanner findest du in der neuen Folge Meyer:Wermuth. 🎙️,2,1370,238
instagram.com,https://www.instagram.com/spschweiz/,3677332351340650070_6052176286,"Während die Vorfreude auf das EM-Viertelfinal steigt, blicken wir mit Historikerin Marianne Meier auf die bewegte Geschichte des Schweizer Frauenfussballs zurück. Es ist die Geschichte von Pionierinnen, Skandalspielen, systematischer Abwertung und unzähligen Frauen, die sich davon nicht aufhalten liessen. Das ganze Gespräch jetzt bei Meyer:Wermuth auf YouTube, Spotify und Apple Podcasts.",2,417,29
instagram.com,https://www.instagram.com/spschweiz/,3674270878259389480_6052176286,"Heute vor 30 Jahren begann in #srebrenica ein Völkermord. Wir dürfen nie vergessen, was damals geschah. Für die Opfer, für ihre Familien, für die Menschheit.",8,1048,31
instagram.com,https://www.instagram.com/spschweiz/,3673699776315404673_6052176286,"VAR sagt, du sollst Mitglied werden! 🟥 (Link in Bio) Das dauert nicht viel länger, als noch deinen Tipp für heute Abend abzugeben und ermöglicht dir, die Zukunft unserer Partei mitzubestimmen. 🤝 Wir freuen uns auf dich! ❤️",1,513,9
instagram.com,https://www.instagram.com/spschweiz/,3673544939883836561_6052176286,Nicht mit uns! ❌,8,2701,79
instagram.com,https://www.instagram.com/spschweiz/,3672101596888927427_6052176286,Seit Jahren wussten sie es…,2,2627,381
instagram.com,https://www.instagram.com/spschweiz/,3668641706409201840_6052176286,Das stand damals nicht im Abstimmungsbüchlein…,2,2449,396
instagram.com,https://www.instagram.com/spschweiz/,3667751486600223234_6052176286,Vorfreude! ⚽ #uefawomenseuro,8,11318,90
