source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased
instagram.com,https://www.instagram.com/juso_schweiz/,3734422377145591042_46564761026,"Das vererbte Vermögen in der Schweiz steigt rasant! 📈2025 werden es schon 100 Mrd. Franken sein, was 12% des Schweizer BIP entspricht.  ⚖️Die Erbschaften sind jedoch nicht fair verteilt, so erben 2/3 der Bevölkerung fast nichts, während 0.1% der Bevölkerung mehr als 200 Mio. erbt. Diese kleine Gruppe der Superreichen zerstört mit ihren Investitionen und ihrem Lebensstil das Klima und die Demokratie. Erbschaften müssen jetzt gerecht besteuert werden! 👉JA zur Initiative für eine Zukunft am 30 November! #demokratie #erbe #klimagerechtigkeit",2025-10-02 09:37:42+00:00,8,186,2,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3733998521813913755_2944886569,Die Global Sumud Flotilla wurde gekapert! Wir solidarisieren uns mit den Aktivist*innen und fordern die sofortige Auflösung der Blockade für Hilfsgüter. Leisten wir Widerstand!,2025-10-01 19:35:33+00:00,1,998,16,-0.01
instagram.com,https://www.instagram.com/juso_schweiz/,3733910518462171892_46564761026,"ETAPPENSIEG! Über 600 Spender*innen, 50’000 Franken! Das hat ein riesiges DANKE verdient! 50’000 Franken für eine Zukunft! 50’000 Franken für eine starke linke Kampagne! Noch vor 10 Tagen hätten wir uns nie erträumt, dass wir dieses Ziel erreichen. Wenn wir könnten, würden wir uns bei allen von euch persönlich bedanken. Da wir jetzt aber mit einer grossartigen Kampagne beschäftigt sind, machen wir es auf diesem Weg: Danke 623 Mal!!",2025-10-01 16:41:26+00:00,2,130,3,1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3733179341258662460_2944886569,"RAUS AN DIE DEMO!!! Morgen demonstrieren wir in Bern auf dem Bundesplatz gegen die Erhöhung der Studiengebühren. Der Bund plant, die Gebühren für Schweizer Studierende zu verdoppeln, und für ausländische Studierende zu vervierfachen! Das ist nicht tragbar, denn schon heute müssen 72% der Studierenden neben ihrem Studium arbeiten. bildung darf nicht zu einem Luxus werden, den sich nur die Reichen leisten können. Unsere Universitäten und Hochschulen dürfen nicht zu einem Ort der Eliten werden.",2025-09-30 16:28:00+00:00,1,324,3,0.13
instagram.com,https://www.instagram.com/juso_schweiz/,3731643232565132075_46564761026,"Für alle, die noch nicht gespendet haben, oder die bereits gespendet haben und es trotzdem nochmal tun wollen: Bis Montagabend läuft das Crowdfunding noch. ❤️ Mit diesem Geld lehren wir Superreiche das Fürchten und zeigen auf, wie eine klimagerechte Gesellschaft aussehen kann. 💪 Link in der Bio!",2025-09-28 13:43:36+00:00,2,151,6,-0.35
instagram.com,https://www.instagram.com/juso_schweiz/,3731550748724274717_2944886569,"Die Fristenlösung ist abgelaufen!  Die Schweiz hat eines der restriktivsten Abtreibungsgesetze Europas. 2025 konnte trotzdem ein kleiner Erfolg gefeiert werden: Abtreibungen werden künftig von der Krankenkasse übernommen. Das reicht aber nicht, denn Schwangerschaftsabbrüche sind immer noch im Strafgesetzbuch verboten. In den ersten zwölf Wochen sind sie nur straffrei, wenn schriftlich eine Notlage geltend gemacht wird. Mit diesen unterdrückerischen Gesetzen werden die Körper von gebärfähigen Menschen kontrolliert - ein Mechanismus, der patriarchale Macht aufrechterhält. Weltweit werden Abtreibungsrechte ausserdem immer weiter eingeschränkt. Wir müssen uns wehren und Widerstand leisten! Die Fristenlösung muss fallen! Schwangerschaftsabbrüche müssen vollständig liberalisiert und somit legalisiert werden. Dazu gehört die Streichung aus dem Strafgesetzbuch, die Abschaffung jeglicher Fristen und die Verankerung des Abtreibungsrechts in der Verfassung.",2025-09-28 10:32:16+00:00,8,806,5,-0.69
instagram.com,https://www.instagram.com/juso_schweiz/,3730195981904434935_2944886569,"Komm mit uns auf die Strasse, wehren wir uns gegen die extreme Erhöhung der Studiengebühren!!! Wo: Bern, Bundesplatz Wann: 1. Oktober, 17:00 Uhr Die Demo ist bewilligt!",2025-09-26 13:42:53+00:00,2,252,2,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3728853083095613865_46564761026,"Sie erben Milliarden, und wir? Wir erben die von ihnen verursachten Krisen. Die Bürgerlichen ballern gerade Millionen in eine Angstkampagne gegen die Initiative für eine Zukunft. Und wer profitiert davon? Die bestgeschützteste Minderheit der Schweiz: Die Superreichen. Aber wir sind viele. Mit unserem Crowdfunding legen wir den ersten Stein für die heisseste Phase dieses Abstimmungskampfs. Mit diesem Geld kämpfen wir für nichts weniger als die sozial- und klimagerechte, demokratisierte Zukunft.  Flyer, Plakate, Aktionen, all das kostet. Für eine schlagkräftige Kampagne, brauchen wir das Geld jetzt und nicht erst am 30. November. Das Crowdfunding läuft nur noch 5 Tage! Nur bis am 29. September kannst du noch Teil davon sein, spende bitte jetzt!  Gemeinsam gegen ihre Millarden, für eine lebenswerte Zukunft. Die Uhr tickt!",2025-09-24 17:17:35+00:00,2,177,39,0.11
instagram.com,https://www.instagram.com/juso_schweiz/,3728698014979112968_2944886569,"Unser ehemaliger JUSO-Präsident und SP-Kantonsrat Nicola Siegrist hat heute vor Gericht gegen Nicolas Rimoldi gewonnen! Zuvor hatte Rimoldi Nicola auf Twitter in verschiedenen Posts aufs Übelste beleidigt und ihn u.a. als «elender Fascho», Fan von Eitler und «Terrorist» bezeichnet. Heute wurde er für Verleumdung vom Zürcher Bezirksgericht verurteilt*. Ein Erfolg aber auch das mindeste im Anbetracht auf die Geschehnisse.  In Zeiten der Fake News und Meinungsbeeinflussung wird die Geschichte von rechten Kräften bewusst verzerrt oder gar umgekehrt. Es ist besonders gravierend  Sozialist*innen, die in Vergangenheit immer als erstes von faschistischen Regimes verfolgt und getötet wurden als «Faschos» zu betiteln.  Wir müssen mit aller Kraft gegen den aufsteigenden Rechtsextremismus kämpfen und uns dabei immer an die Geschichte erinnern. Nie wieder ist jetzt. *Das Urteil ist noch nicht rechtskräftig.",2025-09-24 12:04:24+00:00,1,1418,38,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3728084155352273900_46564761026,Noch 6 Tage. Für fast 30’000 Franken.  Ohne dich schaffen wirs nicht. Link zum Crowdfunding in der Bio 💚 #politik #klimagerechtigkeit,2025-09-23 15:44:48+00:00,8,221,0,0.0
