party_file,status,n,beta_sentiment,se_hc3,t_hc3,p_hc3,r2,intercept
10_JF__cleaned.csv,ok,67.0,-0.6275458727553032,0.5136315871147045,-1.221782087586368,0.2217900440912809,0.023055433209529186,0.01077130975624771
11_Junge_Mitte__cleaned.csv,ok,61.0,0.138053481613271,0.7689410584277219,0.17953714410250549,0.8575159543464307,0.0009141468424725963,-0.03600706381093667
12_Junge_Gruene__cleaned.csv,ok,100.0,-0.28590011817226696,0.2810987254908652,-1.017080805588917,0.30911499054182545,0.002016753064412291,-0.031877863176208256
13_Junge_GLP__cleaned.csv,ok,72.0,-1.1559084717609227,0.750421767796269,-1.5403450717526876,0.1234762627799631,0.0762810836950295,0.12714993189370138
14_Junge_EVP__cleaned.csv,ok,29.0,0.3981826903065401,0.49323126504593123,0.807294100201576,0.41949706227746897,0.0023878963232588646,0.012220089461131733
1_SVP__cleaned.csv,ok,297.0,0.005723687811001771,0.31581167233051266,0.018123737380458967,0.9855401413690346,2.3477541433170046e-07,0.0019556896938061896
2_SP__cleaned.csv,ok,103.0,-1.1324671677269316,0.8911449327689555,-1.270800210026603,0.20379973401419849,0.023136578288861842,-0.07179621946851304
3_FDP__cleaned.csv,ok,85.0,-0.6493034157841524,0.3384854403779873,-1.9182609894802984,0.05507792626576529,0.04046958898564357,-0.08234695084886072
4_Die_Mitte__cleaned.csv,ok,28.0,3.7570418763047058,2.248304420745703,1.6710556816227737,0.0947106800490991,0.20441947340750044,0.08587524288696502
5_Gruene__cleaned.csv,ok,120.0,-0.013556863590830748,0.754005928490701,-0.017979783816776635,0.9856549809821795,3.6549149721176732e-06,-0.001794024948520212
6_GLP__cleaned.csv,ok,113.0,-0.10166154427803628,0.29723806243826717,-0.3420206128518624,0.7323353798869706,0.0008464736375118909,0.0007377209407786814
7_EVP__cleaned.csv,ok,62.0,-0.3445238671636959,0.7389110414237872,-0.4662589240781169,0.641030176638016,0.006922325616754321,-0.01978233817907671
8_JSVP__cleaned.csv,ok,88.0,-0.19084341059723184,0.4476478016418799,-0.42632491413396323,0.6698711060390132,0.0016868894282741076,-0.02379036607104127
9_JUSO__cleaned.csv,ok,177.0,-0.17593541608139648,0.24245456284226882,-0.7256428339352515,0.468057755090178,0.002590190747790766,-0.05418214424066045
sentiment_vs_engagement_ols_by_party_with_pooled.csv,missing_columns,,,,,,,
ALL_PARTIES_POOLED,ok,1402.0,-0.1739849176792143,0.13797423209959195,-1.2609957310987554,0.20731038518604927,0.000723184701108992,-0.02365177279634914
