source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/jsvp_judc/,3729198480464982765_453966891,"Weitere Fehlaussage der Befüworter der E-ID: Sie behaupten, die E-ID sei «kostenlos». Das stimmt so nicht. Deshalb: Jetzt NEIN zur kostspieligen E-ID stimmen!",2025-09-25 04:39:54+00:00,2,149,7
instagram.com,https://www.instagram.com/jsvp_judc/,3728746594582667411_5410023061,"Die Junge SVP Schweiz unterstützt die #grenzschutzinitiative der @svpch vollumfänglich! Die illegale Migration in die Schweiz ist ungebremst hoch. 2023 kamen erneut 30’000 sogenannte «Asylsuchende» aus der ganzen Welt in unser Land. Die Mehrheit mit Hilfe von kriminellen Schlepperbanden. Sie durchqueren unzählige sichere Drittstaaten, um in der Schweiz ein Asylgesuch zu stellen. Kosten und Kriminalität explodieren. 2021 gab der Bund für den Asylbereich 1,5 Milliarden Franken aus. 2023 waren es bereits 3,5 Milliarden. Das sind rund 1’600 Steuerfranken für eine 4-köpfige Familie. Hinzu kommen die Kosten bei den Gemeinden, Schulen und Kantonen. Und: Es vergeht kaum ein Tag ohne Gewalt- und Sexualdelikte, Einbrüche und Diebstähle. Da die Politiker in Bern nichts gegen den Asylmissbrauch unternehmen, muss jetzt die Bevölkerung handeln. Ja! Zur SVP-Grenzschutzinitiative und danke für jede Unterstützung, damit die Schweiz wieder sicherer wird!",2025-09-24 13:40:55+00:00,8,818,21
instagram.com,https://www.instagram.com/jsvp_judc/,3728127245006073820_453966891,"Die E-ID ist total unsicher, es besteht eine akute Gefahr von Identitätsdiebstählen! Namhafte «Friendly Hacker» warnen davor, das Video-Ident-Verfahren anzuwenden, welches bei der Aktivierung der E-ID eingesetzt würde. Trotz Warnungen weigert sich der Bund, den gesamten Quellcode und alle technischen Komponenten des Video-Idents zu veröffentlichen, sodass dieses auf Herz und Nieren getestet werden kann. Deshalb: Jetzt NEIN zur unsicheren E-ID stimmen!",2025-09-23 17:11:36+00:00,2,61,2
instagram.com,https://www.instagram.com/jsvp_judc/,3727812565696082836_5410023061,"Wenn man den Befürwortern der E-ID sachlich aufzeigt, weshalb die E-ID nicht freiwillig sein wird, lautet deren Antwort: Dreinreden, verwedeln, nicht darauf eingehen. Wer dieses unehrliche Spiel durchschaut, stimmt JETZT NEIN zur E-ID!",2025-09-23 06:49:13+00:00,2,172,11
instagram.com,https://www.instagram.com/jsvp_judc/,3727406989837190094_5410023061,"Am vergangenen Freitagmittag musste die @jsvp_judc leider erfahren, dass unser allseits geschätzter SVP-Nationalrat Fredi Heer in der Stadt Zürich tot aufgefunden worden war. Wir sind zutiefst erschüttert und trauern um einen Freund, Begleiter und politischen Mitstreiter. Tatsächlich erhielt die Junge SVP fast zeitgleich Kenntnis über eine von den @jungfreisinnige.ch geplante Aktion gegen die @nachhaltigkeitsinitiative der SVP, welche heute Montag, den 22. September in Bern durchgeführt werden sollte. In der Annahme, dass der Jungfreisinn, mit dem die Junge SVP als rechte und wirtschaftsliberale Partei einige Grundwerte teilt und viele Mitglieder beider Parteien untereinander Freundschaften verbinden, aufgrund dieses Todesfalls in unserer Mitte genügend Taktgefühl besitzen würde, um diese Aktion abzusetzen oder zu verschieben, beschlossen wir, vorerst keine Gegenmassnahmen dazu zu ergreifen. An dieser Stelle sei erwähnt, dass auch die SVP Schweiz eine für diesen Montag geplante, öffentlichkeitswirksame Aktion zur Nachhaltigkeitsinitiative in #Bern aufgrund des Hinscheidens ihres Fraktionsmitglieds Fredi Heer, absagte. Durch die heutige Medienberichterstattung (@20min.ch) mussten wir zwischenzeitlich feststellen, dass unsere Einschätzung offensichtlich falsch war und der Jungfreisinn an der Durchführung dieser geschmacklosen Aktion festhielt. Das ist pietätlos! Auf das dadurch portierte, falsche Framing der Nachhaltigkeitsinitiative wollen wir vorerst gar nicht weiter eingehen.  Da viele JSVP-Mitglieder das Verhalten der Jungfreisinnigen intern als verletzend und geschmacklos beurteilen, gibt die Junge SVP den Jungfreisinnigen die Chance, bei der SVP um Entschuldigung zu bitten und uns allen Zeit zur #Trauer um Nationalrat Fredi Heer einzuräumen. Auch wenn man sich politisch nicht in allen Punkten einig sein mag, darf die Menschlichkeit ob der inhaltlichen Streitigkeiten nicht komplett verloren gehen.",2025-09-22 17:19:21+00:00,1,579,28
instagram.com,https://www.instagram.com/jsvp_judc/,3726630638502700906_453966891,"Die E-ID wird nicht freiwillig sein! Der Willenseintrag im Online-Organspenderegister (Ja/Nein) wird gemäss Bundesrat (Art. 8f der Verordnung zum Organ- und Gewebespenderegister) lediglich Personen möglich sein, welche eine E-ID haben. Die anderen Personen können im Register nur anmerken lassen, WO sich ihre Willensäusserung befindet (z.B. in einer letztwilligen Verfügung bei einem Notar). Das ist eine Schlechterstellung für alle Personen, welche keine E-ID haben möchten.",2025-09-21 15:38:17+00:00,2,1228,46
instagram.com,https://www.instagram.com/jsvp_judc/,3723678802196154978_5410023061,"Ja zu fairen Steuern. Die «Abschaffung des Eigenmietwerts», oder wie es im Abstimmungsbüchlein steht: «Wollen Sie den Bundesbeschluss vom 20. Dezember 2024 über die kantonalen Liegenschaftssteuern auf Zweitliegenschaften annehmen?» ... ist längst überfällig! Legen auch Sie am 28. September ein «Ja» zu dieser Vorlage in die Urne. #schweiz #jsvp #abst25 #nilsfiechter",2025-09-17 13:56:21+00:00,2,97,14
instagram.com,https://www.instagram.com/jsvp_judc/,3721316791508396637_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭,2025-09-14 07:39:13+00:00,1,94,7
instagram.com,https://www.instagram.com/jsvp_judc/,3720101512912583440_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭,2025-09-12 15:24:41+00:00,1,41,3
instagram.com,https://www.instagram.com/jsvp_judc/,3717958599923566811_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭 Wie stimmst du ab?,2025-09-09 16:29:14+00:00,2,185,24
instagram.com,https://www.instagram.com/jsvp_judc/,3717014755803478873_5410023061,"Ja zur Abschaffung des Eigenmietwerts am 28. September 2025 Der Eigenmietwert ist ein Beschiss: Wer Jahrzehntelang gearbeitet und sich ein Eigenheim verdient hat, wird vom Staat ausgepresst. Diese Ewig-Gestrige Steuer gehört dringend abgeschafft! Deswegen: JA! Zur Abschaffung des Eigenmietwerts am 28. September. #schweiz #abst25 #jsvp",2025-09-08 09:25:56+00:00,2,59,5
instagram.com,https://www.instagram.com/jsvp_judc/,3716588952712186010_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭,2025-09-07 19:05:50+00:00,1,69,1
instagram.com,https://www.instagram.com/jsvp_judc/,3715466240912424456_5410023061,Fake News aus dem Hause Jans in der Abstimmungs-Arena  zum E-ID-Gesetz. Die Frage bleibt: Hat der Bundesrat keine Ahnung oder lügt er absichtlich?  Nein zur unsicheren E-ID am 28. September 🇨🇭  #srfarena #abst25  @beatjans @srfschweizerradioundfernsehen @srfnews,2025-09-06 05:55:07+00:00,2,1231,167
instagram.com,https://www.instagram.com/jsvp_judc/,3714837937503690515_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭,2025-09-05 09:06:53+00:00,1,76,5
instagram.com,https://www.instagram.com/jsvp_judc/,3713480643364911459_5410023061,"Eigenmietwert abschaffen! Die Stimmunterlagen sind eingetroffen. Wer den Eigenmietwert endlich abschaffen will, muss jetzt dem Bundesbeschluss über Zweitwohnungssteuern zustimmen. Am 28. September stimmen wir über die Abschaffung des Eigenmietwerts ab. Die Vorlage ist mit dem Bundesbeschluss über Zweitwohnungen gekoppelt. Dieser ermöglicht Kantonen, Zweitwohnungen zu besteuern. Ob eine solche kantonale Steuer tatsächlich eingeführt wird, beurteilt jeder Kanton für sich aufgrund seiner Gegebenheiten. Wer den Eigenmietwert abschaffen will, sagt darum JA zum Bundesbeschluss über Zweitwohnungen.",2025-09-03 12:10:12+00:00,1,37,2
instagram.com,https://www.instagram.com/jsvp_judc/,3713369688689703040_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭,2025-09-03 08:29:44+00:00,1,59,0
instagram.com,https://www.instagram.com/jsvp_judc/,3712856817585153822_14496829852,"140‘000 Unterschriften für die Kompass-Initiative - wir waren dabei: Vom Unterschriften-Sammeln bis zur Einreichung. 🎉 ✅ Volk UND Stände sollen über völkerrechtliche Verträge entscheiden.  🇨🇭 Für eine starke, unabhängige und selbstbestimmte Schweiz. Willst du auch keine Anbindung an das sinkende Schiff EU? Dann werde jetzt Mitglied und kämpfe mit uns gegen den EU-Unterwerfungsvertrag. #kompassinitiative #rahmenvertragnein #rahmenvertrag #jsvp #judc #jsvpzh",2025-09-02 15:30:46+00:00,8,211,3
instagram.com,https://www.instagram.com/jsvp_judc/,3712690587033178325_13563593377,Letzten Samstag führte die Junge SVP Kanton St.Gallen eine Flyeraktion in Wattwil durch. Wir sagen: ✅JA zur Abschaffung vom Eigenmietwert! Wir danken den Teilnehmen für ihren Einsatz. @svpch @jsvp_judc @svpkantonstgallen #Eigenmietwert,2025-09-02 10:00:30+00:00,8,57,1
instagram.com,https://www.instagram.com/jsvp_judc/,3712174405792421746_5410023061,Nein zum E-ID-Gesetz am 28. September 🇨🇭,2025-09-01 16:54:56+00:00,1,47,0
instagram.com,https://www.instagram.com/jsvp_judc/,3710657781704704186_5410023061,"Ja zur Abschaffung des Eigenmietwerts am 28. September! Die Abschaffung beendet eine ungleiche Behandlung des Wohneigentums, das als einzige private Vermögensart mit einem fiktiven Einkommen belastet wird, während andere private Kapitalgewinne steuerfrei sind.  Es wird Zeit, diese unfaire Benachteiligung von Hauseigentümern zu beenden!",2025-08-30 14:41:40+00:00,1,198,5
