source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic,engagement_score
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3727059754179951883_3254768218,Wir haben die Verwaltungsbremse-Initiative lanciert! Alle Infos dazu findest du in unserer Bio! 🚀,2025-09-22 05:50:15+00:00,2,195,5,0.0,0,0.22361773786135286
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3725947446225552855_3254768218,"Wir haben unsere Verwaltungsbremse-Initiative lanciert 🚀 Am heutigen ausserordentlichen Kongress haben unsere Delegierten einstimmig entschieden, dass wir dem ungesunden Staatswachstum ein Ende setzen wollen. Anfang 2026 startet die Unterschriftensammlung 💪🏻 Reserviere deine Unterschrift, damit dir nach dem offiziellen Start ein Unterschriftenbogen postalisch zugestellt wird. Setze dich zusammen mit uns gegen ungesundes  Verwaltungswachstum ein – wir zählen auf dich! ➡️ Alle Infos: jungfreisinnige.ch/verwaltungsbremse",2025-09-20 16:59:30+00:00,8,256,6,-0.57,0,0.8292231889481396
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3724556540167596957_3254768218,"Klassischer Kompromiss 🤡 Well done SP, Grüne und Mieterverband 👏🏻 Wir sagen am 28. September klar JA zur Abschaffung des Eigenmietwerts.",2025-09-18 18:56:01+00:00,8,199,0,-0.05,2,-0.5447500545732371
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3723468932226007724_4061229664,"Gestern durfte ich mich im Rondo Abstimmungstalk (TV Südostschweiz), für das E-ID-Gesetz einsetzen!🗣️ Die E-ID ist freiwillig, niemand wird gezwungen, sie zu nutzen. Das Prinzip der Wahlfreiheit steht für die Grundwerte unserer Gesellschaft: Freiheit, Selbstbestimmung und Teilhabe. Sie ist eine Ergänzung und kein Ersatz – ein digitales Angebot für alle, die es nutzen wollen.  Gleichzeitig macht die E-ID den Staat effizienter und entlastet Bürgerinnen und Bürger wie auch die Verwaltung. Für mich ist klar: Die E-ID ist der nächste logische Schritt, damit die Schweiz innovativ, wettbewerbsfähig und eigenständig bleibt. 👉🏻Zum ganzen Beitrag: https://www.suedostschweiz.ch/sendungen/wahlen-und-abstimmungen-16-09-25",2025-09-17 06:57:25+00:00,2,606,26,0.99,1,6.579184208064365
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3722352618183067868_3254768218,"Dein Alltag einfacher. Deine Daten sicher.  Mit der e-ID hast du den Ausweis direkt auf deinem Handy – verschlüsselt, dezentral gespeichert und freiwillig. Sag auch du am 28. September JA zur e-ID.",2025-09-15 18:00:23+00:00,2,71,6,0.38,1,-0.5236473633330214
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3721621955939146679_3254768218,"Ein Einkommen versteuern, das es gar nicht gibt? Das ist heute Realität mit dem Eigenmietwert 🤯 Am 28. September haben wir endlich die Chance, diese unnötige und unfaire Steuer abzuschaffen. Schon abgestimmt?🗳️",2025-09-14 17:48:23+00:00,2,119,4,-1.0,2,-0.49167992016715
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3719316074635516782_3254768218,Am 29. September diskutieren die Parteispitzen im Kaufleuten in Zürich zur Legislaturhalbzeit 💬  Mit dabei: unser Präsident @jonasluethy 🚀 Sichere dir jetzt dein Ticket!,2025-09-11 13:24:09+00:00,8,64,0,0.0,0,-1.5319799170486794
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3718743671299679980_3254768218,Damit der Traum vom Eigenheim kein Traum bleibt – stimme am 28. September JA zur Abschaffung des Eigenmietwerts 🏡,2025-09-10 18:27:46+00:00,2,90,6,-0.06,2,-0.3847039012068483
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3717993248683020961_66989886942,Bund vs. Privatwirtschaft Die Bundesratrente erhält man auch nach nur einer Amtsperiode im Bundesrat. Sie beträgt 50% des Einkommens des amtierenden Bundesrates und wird bis ans Lebensende ausbezahlt. Hingegen sind in der Privatwirtschaft solch kuriosen Anrechte kaum vorhanden und auch die Löhne sind deutlich tiefer (im Schnitt zahlt der Bund rund 12% höhere Löhne). Unfair - oder? #politik #monopoly #bundesrat #unfair,2025-09-09 17:35:05+00:00,2,123,2,-1.0,0,-0.7814762840303116
instagram.com,https://www.instagram.com/jungfreisinnige.ch/,3717138892244911952_3254768218,Vorschau auf die Herbstsession: 👉 Nein zu personalisierten Tickets  👉 Kein Schuldenmachen für die 13. AHV-Rente  👉 Tiefere Gebühren durch die SRG-Initiative  👉 Mehr Flexibilität im Homeoffice,2025-09-08 17:14:23+00:00,8,43,0,0.0,0,-1.6855490067670815
