source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,data.ig_play_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/p/DHOYSohImlV/,3588759269378921266_1491469054,"Unsere AHV-Gelder – über 40 Mia. Franken – sind in einer Bank in den USA deponiert. Für sichere Renten muss das Vermögen der AHV-Versicherten zurück in die Schweiz!  Aber Cédric Wermuth und seine «Fuck you, Mr. Trump»-SP haben das im Nationalrat verhindert!",2025-03-15 10:11:41+00:00,2,493,21,12012.0,0.0,0
instagram.com,https://www.instagram.com/p/DHTr-4zKBHl/?img_index=1,3589637789362627787_1491469054,"Nationalrätin Barbara Steinemann (ZH): «Es kommt immer wieder vor, dass abgewiesene Asylmigranten, die eigentlich die Schweiz verlassen müssten, so lange neue Asylanträge stellen bis sie einen positiven Bescheid erhalten. In den letzten zehn Jahren erhielten 58'000 Personen den Flüchtlingsstatus - 11% oder 6380 von ihnen nachdem sie mehrmals ein Gesuch gestellt hatten. So wird unser Asylsystem missbraucht, deshalb braucht es jetzt die Grenzschutzinitiative!»",2025-03-16 15:17:40+00:00,2,201,11,6274.0,0.01,1
instagram.com,https://www.instagram.com/p/DHTr-4zKBHl/?img_index=1,3590406765539758565_1491469054,"(Link in Bio) Raubüberfälle, Vergewaltigungen, Messerstechereien und Einbrüche sind an der Tagesordnung. Insbesondere kriminelle Asyl-Migranten verüben teils schwerste Gewalttaten. Das herrschende Asyl-Chaos gefährdet die innere Sicherheit der Schweiz und kostet die Steuerzahler Milliarden. Statt die Grenzen zu kontrollieren, verweigert der verantwortliche SP-Bundesrat Jans griffige Massnahmen zum Schutz der eigenen Bevölkerung. Unterschreiben Sie deshalb jetzt die Volksinitiative «Asylmissbrauch stoppen! Grenzschutz-Initiative»!",2025-03-17 16:44:30+00:00,8,772,77,,-1.0,0
instagram.com,https://www.instagram.com/p/DHbDfHjvMzc/,3591864830962157680_53165741441,"Hindr de Kulisse vo de Asylheim, en Arbeiter packt us! #asyl #heim #altstätten #politik #asylanten #flüchtlinge #svp #schweiz",2025-03-19 17:02:08+00:00,2,1386,112,35320.0,-0.0,0
instagram.com,https://www.instagram.com/p/DHbDfHjvMzc/,3588912786633288021_1491469054,"Alt Bundesrat Christoph Blocher: «Dieser Vertrag, der hier vorliegt, ist ein typischer Kolonialvertrag. Wenn wir dem zustimmen, dann verlieren wir eine der Stärken unseres Landes: Nämlich die, dass die Bürgerinnen und Bürger auch über die Gesetzgebung bestimmen.» Nein zum EU-Unterwerfungsvertrag – Ja zu einer freien und erfolgreichen Schweiz! #unterwerfungsvertrag",2025-03-15 15:17:44+00:00,2,500,22,10108.0,-0.16,0
instagram.com,https://www.instagram.com/p/DHbQPSltQS7/,3592480460317183196_1491469054,"Nationalrat David Zuberbühler (AR): «Letzten Herbst nahm der Nationalrat meine Motion an, die die Gelder für das Palästinenserhilfswerk UNRWA streichen wollte. Die Mitte-links-Mehrheit im Ständerat hat die Motion dagegen versenkt. Damit fliessen weiterhin Schweizer Steuergelder in antisemitische und gewaltverherrlichende Schulbücher in den UNRWA-Schulen.»",2025-03-20 13:25:12+00:00,2,248,6,11901.0,-0.0,0
instagram.com,https://www.instagram.com/p/DHc2MMaIrPO/,3592536547254404283_1491469054,"Nationalrätin Stefanie Heimgartner (AG): «Da sich Mitte-links lieber mit Gender-Gaga als mit dem Aufbau der Wehrfähigkeit der Armee befasst, haben die Rekrutenschulen nicht genügend Material für ihre Ausbildung. Wenn wir die Armeeangehörigen nicht korrekt ausbilden können, sind wir nicht mehr verteidigungsfähig! Der neue VBS-Vorsteher Martin Pfister hat nun den Auftrag unsere Armee wieder einsatzfähig zu machen!»",2025-03-20 15:16:41+00:00,2,165,8,5879.0,0.07,1
instagram.com,https://www.instagram.com/p/DHdkRzUqNUR/,3592984935203517390_1491469054,"Nationalrat Pascal Schmid (TG): «SP-Asylvorsteher Beat Jans tut nichts, um das Asyl-Chaos zu stoppen. Mehr als 20 Aufträge aus dem Parlament setzt er mit seiner Verwaltung nicht um! Damit ist Bundesrat Jans dafür mitverantwortlich, dass die importierte Kriminalität explodiert und die Terrorbedrohung steigt. Deshalb muss das Volk handeln: Unterschreiben Sie JETZT die Grenzschutzinitiative!» 👉🏻 https://grenzschutz-initiative.ch",2025-03-21 06:07:42+00:00,2,304,17,11874.0,-0.0,0
instagram.com,https://www.instagram.com/p/DHdtbTYK_uO/,3593187630724470033_1491469054,"Renitente Asylmigranten können sich auf unsere Kosten weiterhin bis vor Bundesverwaltungsgericht gegen Disziplinarmassnahmen wehren. Nationalrat Pascal Schmid (TG): «Mit diesem Entscheid hat Mitte-Links einmal mehr dafür gesorgt, dass nicht einmal eine minimale und eigentlich selbstverständliche Korrektur im Asylwesen durchgeführt wird.» Jetzt Grenzschutz-Initiative unterschreiben! 👉🏻 https://www.nebelspalter.ch/themen/2025/03/wie-eine-kleine-verschaerfung-des-asylgesetzes-ausgetrickst-wurde-und-von-wem",2025-03-21 12:49:36+00:00,1,500,14,,-0.11,1
instagram.com,https://www.instagram.com/p/DHdtbTYK_uO/,3593227866037025678_1491469054,"(Link in der Bio) Es ist haarsträubend: Die Asylpolitik ist komplett gescheitert, kostet Milliarden und gefährdet unsere innere Sicherheit. Trotzdem will sich SP-Asylvorsteher Jans freiwillig am «EU-Asyl-Solidaritätsmechanismus» beteiligen – und die FDP-Bundesräte helfen mit.",2025-03-21 14:09:37+00:00,1,611,62,,-0.58,0
